iter |           obj |        instat |          step | tr_fail
  84 |  1.345563e+00 |  6.369579e-03 |  1.831055e-04 |       5
  85 |  1.345560e+00 |  5.746541e-03 |  1.831055e-04 |       1
  86 |  1.345557e+00 |  5.516520e-03 |  1.831055e-04 |       1
  87 |  1.345552e+00 |  4.824460e-03 |  3.662109e-04 |       0
  88 |  1.345543e+00 |  3.721497e-03 |  7.324219e-04 |       0
  89 |  1.345529e+00 |  2.809305e-03 |  1.464844e-03 |       0
  90 |  1.345509e+00 |  4.456358e-03 |  2.929688e-03 |       0
  91 |  1.345454e+00 |  4.589780e-03 |  5.859375e-03 |       0
  92 |  1.345357e+00 |  5.023490e-03 |  1.171875e-02 |       0
  93 |  1.345205e+00 |  5.904606e-03 |  2.343750e-02 |       0
  94 |  1.345190e+00 |  2.749308e-03 |  2.929688e-03 |       4
  95 |  1.345178e+00 |  5.809680e-03 |  2.929688e-03 |       0
  96 |  1.345170e+00 |  5.138410e-03 |  7.324219e-04 |       2
  97 |  1.345159e+00 |  4.552596e-03 |  1.464844e-03 |       0
  98 |  1.345143e+00 |  2.838348e-03 |  2.929688e-03 |       0
  99 |  1.345131e+00 |  5.720657e-03 |  2.929688e-03 |       1
iter |           obj |        instat |          step | tr_fail
-----+---------------+---------------+---------------+--------
 100 |  1.345113e+00 |  4.589284e-03 |  2.929688e-03 |       0
 101 |  1.345106e+00 |  7.576124e-03 |  2.929688e-03 |       0
 102 |  1.345085e+00 |  3.255102e-03 |  2.929688e-03 |       0
 103 |  1.345077e+00 |  7.123637e-03 |  2.929688e-03 |       1
 104 |  1.345062e+00 |  3.304135e-03 |  2.929688e-03 |       0
 105 |  1.345045e+00 |  4.449678e-03 |  2.929688e-03 |       0
 106 |  1.345035e+00 |  5.452425e-03 |  2.929688e-03 |       0
 107 |  1.345021e+00 |  6.292456e-03 |  2.929688e-03 |       0
 108 |  1.345007e+00 |  3.047041e-03 |  2.929688e-03 |       0
 109 |  1.344998e+00 |  5.714698e-03 |  2.929688e-03 |       0
 110 |  1.344983e+00 |  5.230494e-03 |  2.929688e-03 |       1
 111 |  1.344978e+00 |  7.491348e-03 |  2.929688e-03 |       0
 112 |  1.344957e+00 |  2.891052e-03 |  2.929688e-03 |       0
 113 |  1.344925e+00 |  3.214789e-03 |  5.859375e-03 |       0
 114 |  1.344917e+00 |  3.076821e-03 |  2.929688e-03 |       2
 115 |  1.344908e+00 |  4.572761e-03 |  2.929688e-03 |       1
 116 |  1.344892e+00 |  4.005769e-03 |  2.929688e-03 |       0
 117 |  1.344886e+00 |  6.150021e-03 |  2.929688e-03 |       0
 118 |  1.344871e+00 |  2.608234e-03 |  2.929688e-03 |       0
 119 |  1.344861e+00 |  6.793814e-03 |  2.929688e-03 |       0
 120 |  1.344854e+00 |  6.221210e-03 |  2.929688e-03 |       0
 121 |  1.344840e+00 |  3.677218e-03 |  2.929688e-03 |       0
 122 |  1.344835e+00 |  5.721949e-03 |  2.929688e-03 |       0
 123 |  1.344821e+00 |  5.926660e-03 |  2.929688e-03 |       0
 124 |  1.344812e+00 |  3.584662e-03 |  2.929688e-03 |       0
 125 |  1.344803e+00 |  3.848683e-03 |  2.929688e-03 |       0
 126 |  1.344791e+00 |  4.818670e-03 |  2.929688e-03 |       0
 127 |  1.344786e+00 |  5.639558e-03 |  2.929688e-03 |       0
 128 |  1.344773e+00 |  2.949280e-03 |  2.929688e-03 |       0
 129 |  1.344758e+00 |  2.147804e-03 |  2.929688e-03 |       0
 130 |  1.344750e+00 |  6.705319e-03 |  2.929688e-03 |       1
 131 |  1.344742e+00 |  3.889636e-03 |  2.929688e-03 |       1
 132 |  1.344732e+00 |  3.336363e-03 |  2.929688e-03 |       0
 133 |  1.344723e+00 |  4.960984e-03 |  2.929688e-03 |       0
 134 |  1.344717e+00 |  4.703253e-03 |  2.929688e-03 |       0
 135 |  1.344708e+00 |  2.973438e-03 |  2.929688e-03 |       0
 136 |  1.344704e+00 |  4.286752e-03 |  2.929688e-03 |       0
 137 |  1.344692e+00 |  4.526717e-03 |  2.929688e-03 |       0
 138 |  1.344679e+00 |  3.218634e-03 |  2.929688e-03 |       0
 139 |  1.344651e+00 |  3.262045e-03 |  5.859375e-03 |       0
 140 |  1.344604e+00 |  3.838617e-03 |  1.171875e-02 |       0
 141 |  1.344595e+00 |  3.313707e-03 |  2.929688e-03 |       3
 142 |  1.344590e+00 |  2.888236e-03 |  1.464844e-03 |       2
 143 |  1.344585e+00 |  4.533837e-03 |  1.464844e-03 |       0
 144 |  1.344582e+00 |  5.172682e-03 |  2.929688e-03 |       0
 145 |  1.344570e+00 |  2.864728e-03 |  2.929688e-03 |       0
 146 |  1.344565e+00 |  3.214234e-03 |  1.464844e-03 |       1
 147 |  1.344560e+00 |  3.118560e-03 |  1.464844e-03 |       0
 148 |  1.344550e+00 |  3.382536e-03 |  2.929688e-03 |       0
 149 |  1.344547e+00 |  6.046701e-03 |  1.464844e-03 |       2
iter |           obj |        instat |          step | tr_fail
-----+---------------+---------------+---------------+--------
 150 |  1.344542e+00 |  3.863524e-03 |  1.464844e-03 |       0
 151 |  1.344538e+00 |  3.185990e-03 |  1.464844e-03 |       1
 152 |  1.344535e+00 |  2.914174e-03 |  1.464844e-03 |       0
 153 |  1.344532e+00 |  2.719076e-03 |  1.464844e-03 |       0
 154 |  1.344527e+00 |  4.122929e-03 |  1.464844e-03 |       0
 155 |  1.344524e+00 |  4.138623e-03 |  1.464844e-03 |       1
 156 |  1.344518e+00 |  2.586513e-03 |  1.464844e-03 |       0
 157 |  1.344516e+00 |  5.027256e-03 |  1.464844e-03 |       1
 158 |  1.344511e+00 |  2.890124e-03 |  1.464844e-03 |       0
 159 |  1.344508e+00 |  2.886597e-03 |  1.464844e-03 |       1
 160 |  1.344505e+00 |  4.082813e-03 |  1.464844e-03 |       0
 161 |  1.344503e+00 |  3.343345e-03 |  1.464844e-03 |       0
 162 |  1.344499e+00 |  2.633208e-03 |  1.464844e-03 |       0
 163 |  1.344497e+00 |  3.040611e-03 |  1.464844e-03 |       0
